sid, maths, physics, chem, bio
1772, 98, 14, 76, 1
1771, 37, 53, 18, 24
1770, 69, 15, 47, 28
1769, 89, 80, 67, 99
1768, 82, 44, 30, 93
1767, 89, 20, 34, 36
1766, 2, 55, 86, 41
1765, 51, 23, 17, 67
1764, 87, 45, 95, 0
1763, 7, 22, 53, 90
1762, 58, 88, 96, 48
1761, 59, 45, 98, 73
1760, 46, 62, 10, 42
1759, 86, 34, 34, 93
1758, 64, 27, 86, 66
1757, 13, 6, 27, 17
1756, 30, 12, 39, 53
1755, 38, 19, 74, 5
1754, 62, 13, 38, 22
1753, 95, 97, 83, 56
1752, 55, 12, 28, 16
1751, 2, 7, 95, 15
1750, 52, 5, 0, 69
1749, 23, 48, 67, 22
1748, 67, 11, 38, 34
1747, 60, 73, 29, 0
1746, 61, 64, 30, 81
1745, 9, 83, 69, 66
1744, 13, 96, 65, 60
1743, 17, 45, 7, 74
1742, 99, 3, 38, 26
1741, 14, 59, 58, 33
1740, 39, 42, 82, 38
1739, 20, 44, 43, 47
1738, 5, 78, 95, 63
1737, 47, 13, 66, 57
1736, 56, 16, 37, 91
1735, 75, 62, 6, 81
1734, 66, 39, 93, 53
1733, 46, 72, 77, 20
1732, 27, 43, 99, 35
1731, 6, 90, 49, 79
1730, 9, 39, 12, 86
1729, 34, 79, 24, 23
1728, 54, 42, 9, 56
1727, 87, 35, 69, 1
1726, 22, 94, 62, 20
1725, 56, 3, 20, 42
1724, 21, 84, 42, 20
1723, 76, 67, 78, 63
1722, 88, 78, 63, 37
1721, 50, 92, 70, 68
1720, 62, 18, 21, 56
1719, 98, 92, 73, 96
1718, 34, 19, 22, 68
1717, 47, 71, 8, 0
1716, 86, 54, 54, 79
1715, 48, 46, 52, 41
1714, 18, 44, 56, 94
1713, 42, 79, 18, 61
1712, 98, 69, 45, 25
1711, 34, 27, 18, 52
1710, 1, 10, 58, 21
1709, 93, 93, 17, 29
1708, 93, 88, 2, 12
1707, 24, 52, 90, 57
1706, 19, 39, 26, 42
1705, 75, 21, 34, 93
1704, 66, 18, 51, 41
1703, 20, 72, 17, 45
1702, 84, 56, 93, 29
1701, 19, 5, 91, 53
1700, 81, 89, 97, 92
1699, 23, 85, 26, 96
1698, 66, 46, 53, 80
1697, 23, 56, 70, 41
1696, 25, 94, 1, 6
1695, 93, 11, 27, 35
1694, 33, 79, 65, 88
1693, 11, 78, 7, 46
1692, 20, 96, 63, 49
1691, 14, 77, 80, 93
1690, 66, 10, 24, 12
1689, 29, 29, 3, 64
1688, 90, 13, 15, 14
1687, 54, 14, 94, 87
1686, 35, 55, 71, 19
1685, 29, 62, 15, 6
1684, 79, 91, 16, 17
1683, 94, 52, 1, 16
1682, 83, 37, 55, 60
1681, 72, 15, 14, 89
1680, 32, 75, 67, 76
1679, 31, 47, 91, 75
1678, 77, 21, 39, 65
1677, 38, 86, 94, 46
1676, 70, 75, 89, 0
1675, 77, 57, 97, 41
1674, 65, 15, 23, 66
1673, 91, 44, 48, 86
1672, 91, 85, 32, 92
1671, 36, 10, 8, 25
1670, 56, 91, 75, 93
1669, 78, 62, 96, 93
1668, 64, 61, 78, 96
1667, 49, 9, 34, 79
1666, 42, 68, 67, 85
1665, 49, 6, 60, 3
1664, 89, 81, 77, 7
1663, 85, 45, 83, 62
1662, 15, 93, 94, 81
1661, 31, 65, 32, 48
1660, 78, 3, 75, 99
1659, 90, 80, 90, 49
1658, 54, 36, 56, 12
1657, 18, 68, 77, 53
1656, 77, 91, 97, 62
1655, 14, 92, 51, 2
1654, 65, 97, 61, 94
1653, 69, 76, 90, 32
1652, 6, 97, 13, 26
1651, 57, 54, 72, 26
1650, 35, 34, 6, 3
1649, 85, 74, 70, 15
1648, 35, 85, 40, 43
1647, 77, 17, 78, 5
1646, 63, 88, 7, 77
1645, 19, 72, 63, 12
1644, 16, 52, 73, 87
1643, 16, 71, 96, 68
1642, 29, 8, 64, 91
1641, 8, 0, 34, 75
1640, 76, 66, 54, 83
1639, 14, 88, 58, 1
1638, 93, 91, 73, 42
1637, 18, 15, 46, 24
1636, 0, 93, 4, 5
1635, 62, 8, 7, 4
1634, 15, 77, 22, 89
1633, 55, 89, 46, 50
1632, 35, 35, 8, 1
1631, 49, 23, 63, 63
1630, 6, 25, 92, 48
1629, 53, 73, 11, 41
1628, 42, 92, 86, 99
1627, 22, 33, 33, 18
1626, 43, 25, 31, 72
1625, 13, 68, 81, 93
1624, 14, 12, 20, 93
1623, 42, 72, 78, 15
1622, 36, 81, 14, 51
1621, 5, 9, 86, 12
1620, 96, 57, 58, 68
1619, 29, 96, 50, 9
1618, 27, 23, 92, 38
1617, 79, 1, 96, 88
1616, 72, 90, 82, 5
1615, 14, 9, 58, 27
1614, 55, 75, 42, 2
1613, 72, 95, 50, 18
1612, 80, 47, 7, 97
1611, 58, 54, 52, 12
1610, 9, 26, 75, 4
1609, 80, 37, 67, 91
1608, 61, 11, 80, 54
1607, 95, 87, 15, 56
1606, 45, 7, 73, 24
1605, 64, 73, 88, 53
1604, 1, 26, 95, 43
1603, 95, 32, 27, 47
1602, 10, 20, 7, 84
1601, 41, 17, 5, 12
1600, 9, 74, 44, 24
1599, 79, 87, 62, 90
1598, 37, 72, 67, 19
1597, 42, 38, 25, 92
1596, 52, 17, 47, 96
1595, 73, 23, 24, 43
1594, 19, 41, 63, 95
1593, 63, 67, 21, 81
1592, 59, 21, 60, 53
1591, 82, 6, 68, 42
1590, 50, 47, 95, 75
1589, 44, 72, 90, 29
1588, 17, 76, 93, 4
1587, 24, 32, 60, 29
1586, 66, 99, 67, 30
1585, 42, 41, 55, 16
1584, 60, 53, 1, 17
1583, 72, 83, 11, 93
1582, 33, 26, 56, 65
1581, 35, 67, 79, 34
1580, 53, 85, 16, 11
1579, 12, 72, 13, 78
1578, 74, 24, 44, 99
1577, 57, 89, 40, 38
1576, 68, 24, 41, 8
1575, 80, 46, 27, 46
1574, 47, 66, 46, 70
1573, 6, 50, 99, 16
1572, 14, 81, 72, 37
1571, 25, 87, 28, 61
1570, 28, 33, 84, 6
1569, 88, 81, 47, 79
1568, 14, 22, 97, 43
1567, 71, 14, 48, 56
1566, 58, 97, 14, 78
1565, 71, 25, 26, 62
1564, 36, 75, 0, 58
1563, 25, 40, 3, 22
1562, 39, 47, 85, 53
1561, 29, 66, 83, 52
1560, 33, 48, 22, 41
1559, 68, 22, 99, 17
1558, 39, 33, 71, 0
1557, 22, 96, 24, 67
1556, 97, 43, 72, 26
1555, 61, 26, 3, 98
1554, 70, 21, 12, 33
1553, 56, 29, 44, 42
1552, 49, 58, 48, 52
1551, 9, 35, 51, 99
1550, 93, 43, 56, 51
1549, 29, 79, 24, 46
1548, 36, 19, 88, 22
1547, 11, 88, 14, 69
1546, 34, 41, 77, 69
1545, 3, 45, 81, 91
1544, 37, 61, 7, 97
1543, 58, 14, 79, 48
1542, 65, 14, 19, 10
1541, 85, 58, 38, 50
1540, 6, 96, 5, 19
1539, 83, 70, 10, 92
1538, 36, 89, 8, 86
1537, 8, 42, 38, 31
1536, 89, 23, 82, 7
1535, 92, 44, 95, 17
1534, 64, 55, 23, 17
1533, 60, 89, 53, 19
1532, 57, 36, 34, 12
1531, 98, 94, 10, 24
1530, 71, 94, 98, 76
1529, 17, 85, 59, 79
1528, 72, 93, 27, 13
1527, 52, 85, 69, 26
1526, 59, 75, 2, 4
1525, 3, 72, 3, 40
1524, 26, 63, 26, 57
1523, 53, 52, 43, 33
1522, 10, 86, 34, 19
1521, 89, 72, 57, 94
1520, 22, 35, 24, 49
1519, 93, 77, 82, 65
1518, 85, 35, 20, 62
1517, 31, 87, 45, 45
1516, 28, 22, 68, 93
1515, 57, 66, 17, 24
1514, 5, 37, 77, 88
1513, 75, 1, 48, 56
1512, 20, 45, 53, 59
1511, 24, 58, 56, 68
1510, 62, 98, 89, 75
1509, 12, 8, 67, 52
1508, 15, 10, 5, 43
1507, 83, 19, 89, 77
1506, 81, 51, 37, 68
1505, 39, 30, 96, 37
1504, 44, 10, 88, 84
1503, 60, 26, 68, 81
1502, 88, 54, 78, 85
1501, 28, 50, 51, 24
1500, 41, 96, 20, 28
1499, 87, 32, 30, 69
1498, 98, 99, 3, 99
1497, 88, 77, 41, 12
1496, 69, 65, 41, 55
1495, 45, 6, 96, 31
1494, 44, 37, 50, 54
1493, 86, 80, 30, 23
1492, 82, 57, 13, 99
1491, 49, 35, 29, 31
1490, 23, 21, 58, 39
1489, 86, 71, 83, 34
1488, 86, 62, 69, 10
1487, 58, 7, 4, 41
1486, 85, 12, 55, 27
1485, 17, 77, 66, 78
1484, 30, 46, 28, 82
1483, 15, 27, 25, 38
1482, 48, 0, 86, 23
1481, 71, 71, 1, 73
1480, 31, 27, 6, 76
1479, 90, 94, 0, 25
1478, 9, 8, 45, 77
1477, 0, 71, 96, 32
1476, 22, 2, 69, 90
1475, 23, 15, 89, 2
1474, 50, 25, 47, 12
1473, 45, 44, 13, 73
1472, 83, 84, 75, 81
1471, 68, 82, 49, 71
1470, 31, 38, 11, 61
1469, 68, 98, 2, 54
1468, 27, 7, 13, 15
1467, 10, 46, 16, 25
1466, 28, 5, 60, 21
1465, 46, 8, 17, 31
1464, 3, 1, 35, 4
1463, 30, 30, 18, 35
1462, 86, 81, 84, 5
1461, 88, 8, 85, 35
1460, 62, 29, 39, 36
1459, 41, 5, 86, 94
1458, 85, 20, 36, 28
1457, 49, 93, 21, 13
1456, 53, 73, 82, 0
1455, 67, 96, 94, 61
1454, 47, 25, 96, 49
1453, 21, 7, 69, 97
1452, 1, 57, 43, 45
1451, 43, 21, 69, 5
1450, 12, 39, 47, 22
1449, 94, 76, 11, 21
1448, 41, 5, 79, 69
1447, 2, 42, 0, 93
1446, 75, 88, 56, 99
1445, 91, 64, 12, 24
1444, 62, 80, 36, 37
1443, 58, 52, 22, 94
1442, 74, 36, 76, 26
1441, 76, 37, 45, 41
1440, 39, 99, 5, 34
1439, 72, 62, 33, 0
1438, 32, 59, 76, 80
1437, 23, 59, 75, 74
1436, 36, 58, 58, 42
1435, 99, 69, 23, 96
1434, 13, 85, 91, 35
1433, 43, 76, 32, 59
1432, 76, 77, 14, 4
1431, 48, 12, 34, 1
1430, 99, 21, 84, 1
1429, 53, 13, 0, 33
1428, 96, 15, 82, 10
1427, 21, 62, 78, 88
1426, 64, 37, 52, 80
1425, 28, 66, 10, 76
1424, 53, 12, 91, 61
1423, 2, 74, 28, 32
1422, 28, 33, 21, 98
1421, 14, 38, 79, 38
1420, 15, 82, 85, 94
1419, 64, 84, 58, 97
1418, 48, 98, 74, 24
1417, 8, 64, 75, 97
1416, 30, 26, 83, 58
1415, 18, 17, 53, 78
1414, 72, 89, 2, 31
1413, 79, 32, 1, 33
1412, 33, 30, 24, 87
1411, 76, 66, 58, 33
1410, 89, 84, 23, 25
1409, 28, 29, 28, 64
1408, 59, 61, 73, 53
1407, 59, 29, 62, 70
1406, 54, 40, 36, 17
1405, 2, 96, 8, 14
1404, 5, 66, 20, 90
1403, 35, 40, 43, 81
1402, 36, 8, 3, 6
1401, 94, 15, 56, 75
1400, 11, 30, 98, 2
1399, 63, 67, 41, 93
1398, 59, 57, 32, 22
1397, 33, 36, 76, 17
1396, 45, 12, 23, 87
1395, 18, 75, 37, 85
1394, 29, 20, 51, 28
1393, 39, 63, 17, 54
1392, 29, 92, 37, 53
1391, 10, 54, 35, 19
1390, 32, 23, 29, 14
1389, 90, 69, 13, 36
1388, 66, 70, 75, 86
1387, 47, 98, 72, 8
1386, 63, 13, 3, 97
1385, 24, 46, 26, 11
1384, 8, 23, 57, 18
1383, 30, 35, 24, 68
1382, 94, 63, 58, 93
1381, 67, 20, 93, 27
1380, 61, 68, 46, 15
1379, 34, 82, 42, 22
1378, 35, 64, 87, 92
1377, 58, 0, 89, 7
1376, 38, 21, 99, 37
1375, 46, 15, 76, 79
1374, 7, 22, 69, 31
1373, 54, 99, 74, 26
1372, 88, 27, 74, 71
1371, 4, 18, 42, 50
1370, 97, 35, 75, 80
1369, 99, 36, 49, 0
1368, 33, 70, 45, 67
1367, 24, 72, 46, 93
1366, 72, 56, 48, 43
1365, 83, 75, 25, 50
1364, 94, 18, 32, 71
1363, 82, 69, 42, 10
1362, 1, 9, 33, 23
1361, 82, 76, 91, 82
1360, 69, 9, 24, 0
1359, 18, 15, 23, 3
1358, 67, 45, 31, 46
1357, 25, 65, 42, 1
1356, 28, 24, 23, 70
1355, 70, 21, 36, 19
1354, 47, 72, 17, 99
1353, 79, 73, 52, 39
1352, 32, 53, 85, 69
1351, 79, 73, 32, 25
1350, 24, 49, 3, 30
1349, 42, 1, 90, 20
1348, 96, 54, 36, 4
1347, 52, 98, 4, 84
1346, 60, 74, 20, 26
1345, 37, 25, 36, 30
1344, 94, 59, 69, 60
1343, 54, 77, 70, 2
1342, 78, 71, 59, 30
1341, 8, 35, 64, 85
1340, 32, 46, 50, 0
1339, 65, 26, 77, 26
1338, 93, 83, 86, 38
1337, 13, 77, 4, 24
1336, 48, 65, 89, 15
1335, 52, 31, 18, 87
1334, 25, 91, 6, 22
1333, 15, 9, 85, 12
1332, 8, 6, 69, 24
1331, 92, 30, 88, 87
1330, 10, 16, 27, 62
1329, 67, 96, 88, 88
1328, 35, 65, 47, 50
1327, 96, 9, 72, 44
1326, 45, 64, 6, 94
1325, 64, 9, 88, 8
1324, 95, 78, 66, 29
1323, 99, 76, 51, 26
1322, 69, 62, 28, 38
1321, 62, 2, 49, 86
1320, 47, 74, 40, 51
1319, 49, 80, 51, 78
1318, 44, 84, 75, 45
1317, 34, 86, 90, 7
1316, 74, 66, 74, 40
1315, 69, 37, 48, 61
1314, 71, 66, 60, 90
1313, 51, 88, 10, 98
1312, 29, 67, 71, 10
1311, 1, 13, 5, 5
1310, 72, 6, 93, 16
1309, 14, 16, 11, 50
1308, 91, 37, 18, 61
1307, 66, 3, 25, 58
1306, 95, 83, 4, 62
1305, 80, 84, 64, 48
1304, 52, 16, 62, 66
1303, 92, 42, 67, 36
1302, 36, 4, 95, 91
1301, 18, 25, 98, 98
1300, 40, 36, 60, 59
1299, 15, 31, 98, 63
1298, 67, 10, 19, 4
1297, 13, 64, 22, 46
1296, 44, 58, 97, 73
1295, 55, 87, 47, 76
1294, 28, 59, 6, 45
1293, 67, 81, 65, 38
1292, 48, 57, 38, 45
1291, 85, 4, 12, 94
1290, 33, 3, 36, 20
1289, 77, 3, 67, 49
1288, 20, 5, 10, 69
1287, 65, 44, 81, 50
1286, 19, 46, 94, 68
1285, 97, 58, 91, 68
1284, 57, 43, 45, 44
1283, 87, 81, 16, 39
1282, 20, 77, 84, 87
1281, 48, 20, 41, 46
1280, 33, 24, 24, 60
1279, 97, 66, 50, 13
1278, 71, 8, 55, 74
1277, 35, 1, 13, 47
1276, 0, 23, 27, 5
1275, 15, 10, 45, 29
1274, 45, 48, 36, 38
1273, 26, 72, 96, 81
1272, 64, 15, 73, 11
1271, 3, 88, 11, 24
1270, 60, 17, 43, 7
1269, 53, 59, 74, 8
1268, 14, 90, 78, 45
1267, 41, 15, 21, 54
1266, 54, 73, 52, 3
1265, 47, 59, 47, 33
1264, 21, 23, 51, 97
1263, 95, 33, 45, 4
1262, 2, 49, 43, 35
1261, 31, 63, 81, 29
1260, 13, 47, 16, 72
1259, 49, 68, 63, 66
1258, 86, 43, 74, 67
1257, 75, 23, 56, 98
1256, 57, 88, 78, 47
1255, 80, 46, 90, 58
1254, 46, 39, 68, 14
1253, 58, 31, 95, 9
1252, 17, 45, 84, 98
1251, 81, 6, 42, 44
1250, 22, 62, 35, 24
1249, 90, 87, 93, 8
1248, 26, 11, 45, 67
1247, 16, 41, 78, 24
1246, 50, 62, 92, 7
1245, 81, 13, 47, 96
1244, 11, 59, 51, 88
1243, 1, 18, 19, 66
1242, 66, 83, 17, 26
1241, 89, 79, 90, 26
1240, 8, 84, 81, 21
1239, 56, 1, 97, 19
1238, 63, 85, 15, 95
1237, 25, 70, 9, 6
1236, 64, 92, 88, 33
1235, 60, 66, 49, 92
1234, 84, 86, 93, 91
1233, 60, 5, 46, 69
1232, 10, 55, 87, 62
1231, 32, 19, 86, 50
1230, 29, 40, 76, 57
1229, 69, 33, 30, 76
1228, 80, 46, 91, 95
1227, 6, 22, 73, 58
1226, 56, 79, 40, 72
1225, 51, 5, 66, 32
1224, 17, 39, 69, 85
1223, 28, 40, 43, 77
1222, 55, 96, 58, 0
1221, 63, 71, 90, 35
1220, 52, 58, 20, 32
1219, 63, 75, 82, 1
1218, 29, 51, 61, 55
1217, 67, 12, 84, 81
1216, 49, 25, 44, 92
1215, 93, 80, 30, 43
1214, 19, 32, 6, 23
1213, 28, 5, 50, 57
1212, 86, 25, 24, 19
1211, 74, 60, 13, 74
1210, 61, 17, 66, 80
1209, 91, 90, 15, 92
1208, 98, 17, 43, 1
1207, 3, 9, 74, 7
1206, 77, 62, 81, 48
1205, 81, 3, 29, 31
1204, 48, 73, 11, 49
1203, 67, 5, 94, 81
1202, 49, 71, 1, 22
1201, 51, 22, 94, 14
1200, 51, 37, 43, 36
1199, 71, 89, 27, 25
1198, 98, 21, 80, 50
1197, 49, 55, 40, 80
1196, 14, 90, 79, 78
1195, 72, 95, 4, 20
1194, 10, 75, 25, 87
1193, 33, 62, 79, 6
1192, 54, 10, 9, 17
1191, 99, 98, 57, 77
1190, 78, 91, 29, 0
1189, 64, 7, 76, 61
1188, 47, 66, 86, 7
1187, 25, 45, 18, 16
1186, 21, 48, 96, 19
1185, 63, 23, 53, 9
1184, 26, 4, 53, 80
1183, 22, 8, 16, 56
1182, 45, 19, 15, 68
1181, 60, 46, 20, 16
1180, 91, 2, 48, 18
1179, 46, 77, 96, 99
1178, 46, 98, 43, 35
1177, 54, 7, 70, 21
1176, 82, 17, 35, 44
1175, 71, 50, 93, 48
1174, 56, 99, 99, 46
1173, 26, 5, 98, 2
1172, 1, 62, 54, 48
1171, 89, 96, 82, 9
1170, 67, 38, 28, 22
1169, 10, 36, 20, 73
1168, 25, 32, 24, 87
1167, 38, 72, 51, 95
1166, 24, 51, 49, 96
1165, 47, 12, 99, 97
1164, 20, 53, 80, 44
1163, 3, 50, 68, 60
1162, 11, 30, 66, 54
1161, 9, 78, 60, 33
1160, 57, 1, 80, 77
1159, 20, 87, 71, 55
1158, 50, 60, 99, 51
1157, 72, 41, 31, 55
1156, 5, 70, 85, 68
1155, 43, 72, 32, 61
1154, 71, 81, 18, 81
1153, 20, 8, 97, 83
1152, 82, 18, 30, 25
1151, 1, 8, 35, 19
1150, 83, 57, 28, 92
1149, 63, 50, 56, 11
1148, 18, 32, 86, 72
1147, 10, 9, 54, 98
1146, 63, 63, 84, 82
1145, 91, 50, 25, 72
1144, 18, 74, 30, 59
1143, 9, 92, 80, 91
1142, 47, 81, 1, 65
1141, 53, 79, 12, 32
1140, 88, 57, 26, 35
1139, 19, 46, 73, 20
1138, 29, 61, 86, 12
1137, 40, 17, 67, 14
1136, 81, 74, 42, 87
1135, 18, 28, 39, 62
1134, 78, 16, 17, 17
1133, 47, 44, 53, 24
1132, 1, 42, 31, 54
1131, 31, 5, 8, 61
1130, 22, 12, 42, 19
1129, 6, 66, 23, 28
1128, 92, 1, 83, 79
1127, 86, 49, 59, 22
1126, 77, 34, 63, 92
1125, 53, 53, 61, 47
1124, 78, 43, 81, 70
1123, 45, 19, 11, 37
1122, 22, 56, 89, 14
1121, 35, 53, 30, 91
1120, 83, 91, 41, 61
1119, 63, 52, 86, 67
1118, 94, 72, 73, 64
1117, 91, 57, 71, 39
1116, 91, 59, 80, 92
1115, 40, 37, 78, 97
1114, 4, 17, 25, 97
1113, 26, 44, 11, 69
1112, 52, 31, 53, 74
1111, 70, 90, 79, 21
1110, 47, 84, 1, 82
1109, 1, 80, 25, 27
1108, 5, 2, 29, 30
1107, 41, 23, 12, 80
1106, 91, 60, 5, 4
1105, 22, 95, 39, 85
1104, 51, 61, 51, 31
1103, 82, 34, 37, 97
1102, 74, 67, 7, 74
1101, 25, 99, 98, 95
1100, 87, 82, 38, 49
1099, 61, 80, 17, 7
1098, 62, 96, 21, 68
1097, 80, 61, 91, 55
1096, 15, 65, 72, 2
1095, 48, 15, 75, 63
1094, 70, 75, 17, 12
1093, 9, 90, 9, 49
1092, 94, 7, 65, 30
1091, 6, 65, 59, 97
1090, 75, 1, 52, 14
1089, 87, 63, 37, 37
1088, 15, 48, 38, 56
1087, 42, 73, 46, 63
1086, 88, 27, 14, 15
1085, 36, 2, 25, 78
1084, 39, 76, 96, 16
1083, 39, 4, 61, 93
1082, 50, 59, 12, 63
1081, 41, 87, 73, 80
1080, 69, 42, 2, 75
1079, 75, 14, 7, 30
1078, 90, 85, 50, 35
1077, 77, 8, 54, 57
1076, 54, 34, 63, 51
1075, 12, 27, 40, 98
1074, 39, 11, 34, 80
1073, 54, 46, 85, 98
1072, 3, 54, 35, 19
1071, 93, 90, 12, 19
1070, 80, 82, 79, 92
1069, 97, 90, 92, 51
1068, 33, 26, 42, 65
1067, 40, 1, 41, 8
1066, 92, 41, 74, 35
1065, 16, 99, 11, 65
1064, 74, 13, 42, 64
1063, 60, 11, 59, 20
1062, 54, 90, 37, 75
1061, 80, 18, 96, 27
1060, 67, 32, 33, 34
1059, 43, 99, 26, 6
1058, 49, 93, 78, 57
1057, 90, 51, 5, 95
1056, 8, 10, 2, 22
1055, 69, 70, 22, 83
1054, 95, 84, 42, 10
1053, 15, 47, 85, 61
1052, 11, 68, 6, 27
1051, 8, 98, 69, 17
1050, 5, 45, 35, 31
1049, 62, 27, 49, 83
1048, 62, 38, 88, 66
1047, 15, 85, 76, 11
1046, 94, 95, 98, 80
1045, 64, 47, 41, 58
1044, 57, 13, 98, 36
1043, 26, 62, 62, 86
1042, 21, 25, 44, 0
1041, 4, 24, 39, 31
1040, 44, 77, 10, 25
1039, 34, 68, 34, 95
1038, 94, 47, 54, 88
1037, 79, 51, 48, 53
1036, 60, 43, 98, 60
1035, 26, 48, 18, 62
1034, 27, 97, 34, 61
1033, 81, 26, 14, 62
1032, 61, 24, 91, 62
1031, 93, 34, 14, 94
1030, 74, 43, 99, 49
1029, 99, 84, 0, 36
1028, 84, 60, 24, 36
1027, 34, 29, 62, 5
1026, 81, 48, 31, 72
1025, 1, 5, 83, 99
1024, 1, 75, 10, 44
1023, 23, 50, 35, 65
1022, 37, 38, 91, 10
1021, 0, 39, 7, 64
1020, 19, 3, 46, 19
1019, 39, 33, 97, 89
1018, 46, 76, 65, 32
1017, 43, 26, 95, 87
1016, 90, 99, 39, 93
1015, 73, 33, 59, 73
1014, 12, 97, 30, 74
1013, 47, 97, 41, 88
1012, 50, 34, 5, 4
1011, 33, 63, 68, 13
1010, 91, 20, 81, 26
1009, 51, 44, 34, 50
1008, 47, 5, 88, 14
1007, 62, 76, 2, 32
1006, 89, 63, 4, 90
1005, 54, 13, 91, 37
1004, 28, 86, 65, 40
1003, 82, 13, 30, 90
1002, 47, 47, 34, 79
1001, 67, 46, 4, 68
1000, 70, 71, 50, 55
999, 1, 46, 72, 12
998, 30, 75, 72, 67
997, 12, 16, 48, 99
996, 56, 15, 4, 23
995, 80, 35, 27, 51
994, 1, 1, 90, 14
993, 33, 95, 43, 49
992, 11, 72, 47, 38
991, 84, 25, 74, 5
990, 87, 14, 27, 20
989, 15, 45, 12, 73
988, 19, 20, 88, 0
987, 13, 79, 45, 61
986, 64, 5, 5, 89
985, 26, 61, 96, 5
984, 68, 34, 97, 42
983, 33, 70, 98, 2
982, 6, 90, 50, 2
981, 81, 94, 57, 59
980, 96, 40, 23, 27
979, 73, 55, 21, 3
978, 27, 3, 9, 0
977, 74, 40, 11, 1
976, 17, 98, 36, 95
975, 44, 90, 67, 43
974, 78, 59, 33, 91
