rollno, age, height, weight
1650, 19, 176, 51
1649, 20, 153, 83
1648, 18, 166, 60
1647, 18, 157, 79
1646, 20, 174, 88
1645, 19, 179, 78
1644, 20, 158, 58
1643, 18, 162, 63
1642, 18, 166, 61
1641, 21, 176, 99
1640, 21, 186, 55
1639, 21, 172, 81
1638, 18, 159, 108
1637, 21, 181, 70
1636, 21, 188, 75
1635, 18, 177, 91
1634, 18, 165, 68
1633, 18, 180, 100
1632, 20, 171, 69
1631, 20, 182, 63
1630, 19, 184, 90
1629, 19, 171, 66
1628, 20, 167, 96
1627, 18, 153, 83
1626, 21, 154, 57
1625, 18, 161, 85
1624, 19, 158, 82
1623, 18, 189, 97
1622, 19, 164, 56
1621, 19, 151, 70
1620, 19, 174, 74
1619, 21, 167, 90
1618, 20, 151, 93
1617, 21, 156, 75
1616, 19, 162, 99
1615, 21, 180, 77
1614, 19, 175, 96
1613, 19, 159, 107
1612, 18, 156, 77
1611, 19, 165, 70
1610, 20, 182, 66
1609, 18, 186, 56
1608, 21, 176, 79
1607, 19, 186, 73
1606, 20, 172, 56
1605, 19, 170, 60
1604, 18, 167, 72
1603, 20, 180, 82
1602, 21, 177, 50
1601, 21, 174, 65
1600, 18, 188, 81
1599, 20, 155, 80
1598, 20, 155, 79
1597, 19, 175, 51
1596, 20, 174, 81
1595, 21, 186, 62
1594, 21, 160, 79
1593, 21, 169, 51
1592, 21, 175, 61
1591, 20, 174, 98
1590, 19, 171, 65
1589, 21, 158, 75
1588, 18, 186, 98
1587, 19, 188, 86
1586, 18, 169, 89
1585, 20, 153, 57
1584, 20, 166, 65
1583, 20, 160, 54
1582, 19, 153, 70
1581, 21, 163, 75
1580, 18, 167, 63
1579, 18, 155, 51
1578, 20, 162, 109
1577, 21, 155, 68
1576, 18, 162, 71
1575, 21, 181, 52
1574, 20, 189, 105
1573, 20, 182, 74
1572, 20, 173, 50
1571, 21, 150, 68
1570, 18, 181, 100
1569, 19, 172, 78
1568, 21, 159, 84
1567, 18, 155, 97
1566, 19, 169, 93
1565, 18, 164, 71
1564, 20, 181, 87
1563, 19, 162, 61
1562, 21, 160, 94
1561, 18, 158, 65
1560, 19, 172, 81
1559, 19, 183, 97
1558, 18, 185, 76
1557, 19, 174, 92
1556, 19, 180, 101
1555, 21, 182, 58
1554, 21, 163, 64
1553, 20, 165, 87
1552, 20, 187, 64
1551, 19, 162, 84
1550, 19, 161, 57
1549, 20, 151, 98
1548, 21, 161, 87
1547, 20, 161, 56
1546, 20, 173, 90
1545, 20, 184, 71
1544, 20, 155, 102
1543, 20, 152, 75
1542, 19, 170, 78
1541, 18, 165, 66
1540, 20, 168, 94
1539, 20, 169, 81
1538, 18, 188, 64
1537, 18, 156, 67
1536, 18, 157, 54
1535, 19, 159, 77
1534, 20, 185, 78
1533, 20, 175, 109
1532, 18, 181, 63
1531, 19, 162, 102
1530, 21, 171, 80
1529, 19, 154, 58
1528, 18, 167, 71
1527, 21, 171, 58
1526, 20, 174, 69
1525, 19, 189, 89
1524, 20, 159, 105
1523, 19, 176, 98
1522, 21, 159, 88
1521, 20, 152, 105
1520, 19, 160, 68
1519, 21, 156, 76
1518, 21, 151, 78
1517, 19, 187, 55
1516, 19, 150, 67
1515, 20, 162, 106
1514, 21, 157, 73
1513, 19, 160, 103
1512, 21, 160, 64
1511, 21, 167, 79
1510, 18, 162, 71
1509, 19, 155, 87
1508, 18, 153, 50
1507, 18, 166, 108
1506, 18, 150, 109
1505, 19, 163, 57
1504, 19, 168, 53
1503, 21, 169, 76
1502, 19, 175, 60
1501, 19, 165, 73
1500, 20, 174, 57
1499, 20, 187, 68
1498, 20, 151, 51
1497, 18, 169, 65
1496, 21, 150, 86
1495, 21, 162, 53
1494, 21, 167, 98
1493, 20, 186, 95
1492, 19, 184, 56
1491, 21, 186, 85
1490, 20, 187, 101
1489, 18, 155, 70
1488, 20, 184, 58
1487, 21, 157, 108
1486, 21, 182, 99
1485, 21, 173, 101
1484, 19, 152, 106
1483, 19, 189, 55
1482, 20, 169, 82
1481, 21, 154, 56
1480, 18, 169, 75
1479, 21, 162, 88
1478, 20, 187, 83
1477, 21, 179, 61
1476, 19, 155, 69
1475, 19, 153, 62
1474, 21, 189, 64
1473, 18, 170, 109
1472, 20, 164, 101
1471, 19, 171, 69
1470, 21, 164, 105
1469, 20, 183, 59
1468, 18, 160, 74
1467, 18, 162, 101
1466, 20, 157, 64
1465, 21, 175, 106
1464, 21, 185, 107
1463, 20, 166, 73
1462, 19, 161, 71
1461, 20, 182, 91
1460, 19, 184, 96
1459, 21, 154, 82
1458, 20, 171, 104
1457, 18, 155, 106
1456, 20, 176, 59
1455, 20, 168, 57
1454, 20, 184, 94
1453, 19, 160, 71
1452, 21, 150, 70
1451, 20, 152, 109
1450, 19, 152, 63
1449, 21, 168, 56
1448, 21, 156, 63
1447, 21, 184, 51
1446, 21, 180, 84
1445, 18, 172, 77
1444, 18, 161, 102
1443, 19, 158, 71
1442, 20, 151, 96
1441, 18, 184, 70
1440, 18, 184, 87
1439, 21, 163, 56
1438, 18, 181, 66
1437, 18, 177, 78
1436, 18, 165, 58
1435, 21, 185, 53
1434, 21, 188, 50
1433, 21, 185, 52
1432, 21, 155, 109
1431, 21, 161, 107
1430, 19, 161, 54
1429, 20, 188, 62
1428, 18, 178, 77
1427, 18, 158, 86
1426, 21, 163, 106
1425, 19, 172, 55
1424, 21, 176, 78
1423, 20, 153, 94
1422, 20, 172, 77
1421, 18, 163, 106
1420, 19, 170, 76
1419, 20, 163, 89
1418, 18, 181, 107
1417, 21, 178, 90
1416, 20, 181, 82
1415, 18, 155, 100
1414, 21, 162, 104
1413, 19, 186, 51
1412, 19, 189, 86
1411, 19, 179, 71
1410, 21, 177, 97
1409, 19, 171, 89
1408, 21, 175, 92
1407, 19, 158, 63
1406, 20, 160, 54
1405, 19, 186, 72
1404, 21, 171, 103
1403, 19, 175, 52
1402, 20, 152, 50
1401, 20, 164, 66
1400, 20, 166, 96
1399, 18, 187, 71
1398, 19, 179, 108
1397, 20, 178, 64
1396, 19, 160, 101
1395, 21, 178, 71
1394, 18, 169, 75
1393, 20, 180, 108
1392, 18, 154, 93
1391, 19, 180, 78
1390, 21, 182, 94
1389, 18, 173, 99
1388, 18, 153, 65
1387, 20, 161, 109
1386, 20, 160, 74
1385, 19, 173, 64
1384, 19, 165, 69
1383, 20, 165, 83
1382, 20, 153, 64
1381, 19, 154, 89
1380, 19, 152, 108
1379, 18, 164, 109
1378, 18, 174, 57
1377, 19, 184, 60
1376, 20, 168, 54
1375, 18, 184, 103
1374, 21, 164, 97
1373, 18, 169, 73
1372, 21, 153, 70
1371, 19, 179, 66
1370, 18, 188, 106
1369, 19, 170, 79
1368, 20, 175, 78
1367, 18, 184, 68
1366, 18, 181, 85
1365, 18, 183, 56
1364, 20, 174, 67
1363, 18, 181, 69
1362, 20, 153, 79
1361, 20, 178, 107
1360, 20, 157, 71
1359, 21, 159, 77
1358, 20, 179, 69
1357, 21, 181, 84
1356, 19, 187, 102
1355, 19, 159, 81
1354, 18, 156, 84
1353, 18, 187, 108
1352, 21, 150, 100
1351, 18, 174, 61
1350, 20, 164, 102
1349, 21, 157, 53
1348, 20, 175, 62
1347, 20, 180, 105
1346, 18, 178, 64
1345, 21, 175, 66
1344, 18, 166, 95
1343, 19, 157, 54
1342, 21, 177, 90
1341, 20, 177, 93
1340, 20, 178, 92
1339, 20, 169, 77
1338, 21, 167, 91
1337, 19, 179, 53
1336, 21, 176, 84
1335, 19, 169, 55
1334, 18, 170, 92
1333, 18, 174, 109
1332, 21, 167, 72
1331, 21, 179, 71
1330, 19, 153, 106
1329, 19, 155, 90
1328, 18, 176, 68
1327, 21, 179, 92
1326, 21, 187, 56
1325, 20, 180, 51
1324, 18, 173, 51
1323, 20, 187, 58
1322, 18, 159, 59
1321, 20, 175, 98
1320, 19, 153, 107
1319, 21, 172, 58
1318, 19, 174, 63
1317, 21, 185, 103
1316, 21, 163, 74
1315, 21, 150, 86
1314, 20, 171, 92
1313, 18, 189, 100
1312, 18, 178, 96
1311, 19, 169, 52
1310, 19, 179, 66
1309, 19, 185, 88
1308, 19, 177, 100
1307, 20, 187, 75
1306, 18, 177, 102
1305, 21, 172, 78
1304, 20, 170, 90
1303, 20, 162, 88
1302, 19, 173, 102
1301, 19, 164, 92
1300, 20, 176, 58
1299, 21, 185, 82
1298, 20, 183, 86
1297, 20, 163, 96
1296, 19, 174, 68
1295, 20, 185, 63
1294, 18, 180, 55
1293, 18, 184, 81
1292, 19, 159, 51
1291, 21, 152, 86
1290, 21, 174, 65
1289, 20, 165, 77
1288, 18, 168, 95
1287, 18, 178, 50
1286, 19, 183, 63
1285, 19, 177, 92
1284, 21, 152, 72
1283, 19, 168, 69
1282, 21, 163, 97
1281, 20, 151, 92
1280, 18, 158, 74
1279, 19, 151, 86
1278, 19, 163, 80
1277, 21, 165, 101
1276, 19, 160, 97
1275, 19, 158, 101
1274, 21, 173, 88
1273, 19, 150, 88
1272, 18, 155, 68
1271, 19, 175, 78
1270, 20, 158, 76
1269, 18, 164, 93
1268, 20, 157, 94
1267, 18, 174, 64
1266, 20, 166, 68
1265, 19, 171, 82
1264, 20, 157, 80
1263, 21, 150, 56
1262, 21, 179, 51
1261, 19, 160, 89
1260, 20, 173, 84
1259, 21, 177, 68
1258, 21, 180, 55
1257, 18, 186, 84
1256, 20, 176, 72
1255, 20, 160, 103
1254, 21, 182, 104
1253, 21, 174, 105
1252, 21, 180, 106
1251, 21, 182, 60
1250, 18, 166, 53
1249, 19, 171, 65
1248, 20, 169, 102
1247, 20, 182, 85
1246, 18, 166, 83
1245, 20, 189, 86
1244, 21, 157, 77
1243, 20, 169, 74
1242, 20, 164, 102
1241, 18, 184, 69
1240, 21, 178, 93
1239, 19, 153, 65
1238, 21, 175, 53
1237, 21, 159, 82
1236, 19, 175, 84
1235, 21, 179, 56
1234, 18, 161, 68
1233, 19, 162, 103
1232, 21, 182, 66
1231, 20, 166, 87
1230, 19, 166, 103
1229, 20, 162, 71
1228, 21, 169, 72
1227, 18, 156, 102
1226, 21, 178, 108
1225, 20, 185, 104
1224, 21, 155, 101
1223, 21, 167, 53
1222, 18, 156, 75
1221, 21, 174, 71
1220, 18, 162, 50
1219, 19, 177, 85
1218, 19, 160, 92
1217, 20, 172, 69
1216, 18, 162, 67
1215, 20, 181, 55
1214, 21, 177, 69
1213, 21, 188, 89
1212, 20, 162, 61
1211, 18, 159, 107
1210, 18, 155, 101
1209, 19, 171, 93
1208, 18, 153, 58
1207, 20, 160, 53
1206, 19, 162, 107
1205, 21, 155, 68
1204, 19, 150, 85
1203, 20, 166, 62
1202, 21, 152, 98
1201, 18, 156, 108
1200, 18, 157, 97
1199, 19, 165, 105
1198, 19, 183, 59
1197, 20, 183, 96
1196, 20, 189, 107
1195, 19, 181, 95
1194, 21, 160, 72
1193, 20, 154, 85
1192, 18, 160, 101
1191, 20, 189, 97
1190, 18, 170, 82
1189, 20, 175, 52
1188, 21, 161, 74
1187, 20, 187, 73
1186, 18, 161, 89
1185, 18, 153, 71
1184, 20, 176, 52
1183, 20, 162, 55
1182, 21, 182, 108
1181, 20, 185, 67
1180, 21, 187, 76
1179, 20, 188, 67
1178, 20, 178, 73
1177, 19, 154, 91
1176, 18, 188, 87
1175, 19, 177, 94
1174, 20, 187, 64
1173, 18, 156, 74
1172, 19, 171, 61
1171, 19, 189, 62
1170, 21, 187, 61
1169, 20, 184, 59
1168, 18, 159, 81
1167, 19, 154, 55
1166, 21, 171, 99
1165, 20, 180, 69
1164, 20, 167, 93
1163, 19, 171, 63
1162, 20, 156, 101
1161, 20, 159, 69
1160, 20, 152, 88
1159, 19, 187, 79
1158, 19, 184, 63
1157, 20, 185, 109
1156, 21, 168, 84
1155, 18, 186, 79
1154, 18, 167, 97
1153, 21, 152, 75
1152, 19, 150, 93
1151, 20, 151, 58
1150, 19, 159, 77
1149, 21, 185, 75
1148, 21, 172, 69
1147, 19, 175, 93
1146, 20, 154, 89
1145, 20, 180, 109
1144, 21, 152, 54
1143, 20, 151, 79
1142, 21, 173, 75
1141, 21, 178, 101
1140, 20, 172, 99
1139, 19, 156, 72
1138, 19, 186, 102
1137, 18, 182, 100
1136, 20, 170, 84
1135, 21, 152, 62
1134, 19, 185, 109
1133, 20, 153, 75
1132, 21, 152, 101
1131, 20, 171, 85
1130, 18, 165, 87
1129, 19, 180, 51
1128, 18, 180, 61
1127, 18, 153, 87
1126, 19, 172, 56
1125, 21, 151, 105
1124, 18, 163, 96
1123, 19, 152, 101
1122, 19, 185, 105
1121, 20, 188, 74
1120, 19, 174, 100
1119, 18, 167, 84
1118, 20, 164, 107
1117, 19, 161, 58
1116, 19, 161, 104
1115, 21, 158, 68
1114, 21, 153, 105
1113, 21, 166, 61
1112, 19, 168, 106
1111, 19, 172, 65
1110, 21, 166, 78
1109, 21, 167, 87
1108, 21, 186, 99
1107, 18, 164, 95
1106, 20, 174, 109
1105, 19, 153, 72
1104, 21, 182, 106
1103, 19, 185, 82
1102, 18, 179, 51
1101, 20, 176, 62
1100, 20, 161, 76
1099, 19, 186, 82
1098, 20, 174, 77
1097, 20, 164, 93
1096, 18, 155, 67
1095, 21, 175, 107
1094, 19, 162, 55
1093, 20, 160, 100
1092, 20, 167, 79
1091, 21, 175, 88
1090, 21, 152, 89
1089, 18, 162, 55
1088, 20, 154, 56
1087, 18, 156, 62
1086, 18, 158, 67
1085, 19, 170, 107
1084, 20, 185, 104
1083, 19, 179, 61
1082, 18, 168, 89
1081, 21, 189, 57
1080, 20, 172, 50
1079, 18, 177, 53
1078, 20, 172, 100
1077, 20, 165, 59
1076, 18, 150, 90
1075, 18, 160, 85
1074, 20, 181, 109
1073, 20, 169, 79
1072, 21, 182, 71
1071, 19, 176, 87
1070, 21, 187, 103
1069, 19, 151, 79
1068, 21, 150, 60
1067, 20, 179, 70
1066, 20, 163, 88
1065, 21, 154, 93
1064, 18, 160, 56
1063, 21, 158, 66
1062, 20, 182, 89
1061, 19, 174, 100
1060, 18, 153, 100
1059, 18, 177, 80
1058, 21, 160, 56
1057, 21, 180, 82
1056, 19, 164, 74
1055, 20, 175, 109
1054, 20, 180, 57
1053, 18, 155, 63
1052, 18, 178, 91
1051, 18, 170, 67
1050, 18, 158, 82
1049, 18, 174, 54
1048, 18, 171, 87
1047, 21, 158, 98
1046, 19, 163, 52
1045, 21, 162, 65
1044, 19, 164, 102
1043, 18, 170, 64
1042, 18, 154, 58
1041, 18, 174, 105
1040, 18, 186, 74
1039, 20, 165, 78
1038, 19, 159, 94
1037, 20, 164, 63
1036, 19, 156, 96
1035, 20, 181, 63
1034, 20, 156, 108
1033, 18, 176, 58
1032, 21, 170, 58
1031, 18, 189, 73
1030, 19, 186, 86
1029, 20, 154, 79
1028, 21, 189, 59
1027, 21, 176, 57
1026, 21, 151, 103
1025, 19, 165, 101
1024, 18, 168, 86
1023, 19, 158, 56
1022, 19, 163, 86
1021, 21, 165, 81
1020, 18, 157, 56
1019, 19, 158, 73
1018, 18, 152, 109
1017, 19, 152, 97
1016, 20, 171, 50
1015, 19, 165, 79
1014, 20, 168, 71
1013, 21, 179, 96
1012, 20, 163, 62
1011, 18, 183, 55
1010, 20, 173, 81
1009, 20, 162, 57
1008, 18, 181, 50
1007, 18, 177, 85
1006, 20, 169, 77
1005, 19, 158, 59
1004, 18, 165, 85
1003, 18, 164, 93
1002, 18, 165, 67
1001, 20, 164, 68
1000, 20, 174, 67
999, 19, 184, 62
998, 18, 163, 96
997, 18, 177, 85
996, 21, 168, 84
995, 19, 152, 58
994, 19, 170, 87
993, 21, 176, 102
992, 19, 189, 94
991, 19, 178, 108
990, 20, 183, 89
989, 19, 175, 107
988, 20, 169, 54
987, 19, 171, 66
986, 18, 164, 95
985, 20, 181, 108
984, 20, 163, 90
983, 21, 157, 92
982, 20, 184, 96
981, 21, 168, 81
980, 18, 160, 109
979, 20, 163, 87
978, 20, 178, 73
977, 21, 181, 87
976, 20, 185, 54
975, 20, 168, 60
974, 19, 156, 66
973, 19, 154, 57
972, 18, 184, 86
971, 18, 170, 53
970, 19, 180, 65
969, 19, 164, 91
968, 18, 184, 98
967, 18, 182, 109
966, 19, 172, 74
965, 18, 164, 82
964, 20, 179, 103
963, 19, 188, 82
962, 20, 183, 95
961, 19, 178, 109
960, 18, 151, 97
959, 18, 183, 94
958, 19, 167, 54
957, 20, 164, 90
956, 21, 170, 57
955, 19, 157, 75
954, 20, 170, 68
953, 19, 185, 70
952, 18, 155, 65
951, 21, 170, 75
950, 18, 173, 51
949, 21, 157, 54
948, 21, 162, 56
947, 20, 162, 101
946, 19, 172, 81
945, 20, 185, 72
944, 19, 167, 73
943, 20, 155, 75
942, 19, 168, 79
941, 18, 162, 79
940, 18, 166, 84
939, 21, 168, 95
938, 18, 185, 90
937, 20, 178, 99
936, 21, 179, 78
935, 19, 177, 105
934, 18, 168, 51
933, 21, 174, 73
932, 20, 189, 94
931, 21, 173, 59
930, 20, 159, 66
929, 20, 162, 103
928, 21, 169, 81
927, 21, 170, 60
926, 20, 183, 72
925, 19, 151, 68
924, 20, 188, 67
923, 18, 156, 102
922, 18, 165, 99
921, 19, 150, 100
920, 19, 173, 87
919, 19, 160, 66
918, 21, 151, 105
917, 21, 165, 86
916, 18, 174, 67
915, 21, 170, 51
914, 18, 163, 65
913, 21, 153, 55
912, 21, 177, 58
911, 19, 163, 93
910, 19, 171, 94
909, 19, 159, 74
908, 19, 156, 92
907, 21, 177, 102
906, 18, 186, 73
905, 21, 184, 59
904, 20, 187, 89
903, 18, 167, 91
902, 19, 155, 86
901, 18, 176, 56
900, 18, 170, 93
899, 20, 160, 102
898, 21, 188, 101
897, 21, 159, 92
896, 20, 164, 97
895, 18, 160, 86
894, 18, 176, 55
893, 18, 183, 84
892, 20, 160, 60
891, 20, 160, 51
890, 20, 189, 102
889, 18, 179, 55
888, 19, 179, 61
887, 21, 165, 105
886, 18, 188, 99
885, 18, 189, 95
884, 19, 161, 74
883, 21, 181, 97
882, 21, 179, 72
881, 21, 166, 82
880, 20, 185, 73
879, 18, 152, 96
878, 19, 186, 73
877, 19, 156, 56
876, 21, 174, 97
875, 21, 179, 62
874, 18, 175, 89
873, 20, 155, 60
872, 19, 187, 93
871, 19, 159, 86
870, 19, 187, 91
869, 20, 181, 56
868, 20, 187, 88
867, 20, 177, 94
866, 21, 185, 107
865, 18, 163, 98
864, 21, 179, 57
863, 18, 184, 96
862, 18, 185, 71
861, 18, 184, 97
860, 19, 173, 78
859, 20, 157, 73
858, 20, 164, 78
857, 18, 185, 66
856, 20, 187, 77
855, 18, 178, 57
854, 20, 171, 66
853, 21, 155, 57
852, 19, 171, 89
851, 21, 169, 74
850, 18, 175, 76
849, 19, 185, 109
848, 21, 182, 74
847, 19, 187, 56
846, 19, 170, 100
845, 21, 180, 108
844, 18, 187, 59
843, 21, 166, 101
842, 20, 185, 108
841, 19, 168, 60
840, 20, 177, 53
839, 21, 152, 100
838, 21, 188, 84
837, 19, 166, 71
836, 19, 162, 66
835, 19, 166, 60
834, 19, 176, 88
833, 19, 163, 63
832, 19, 166, 71
831, 20, 177, 59
830, 19, 162, 61
829, 18, 174, 85
828, 20, 183, 78
827, 18, 183, 96
826, 21, 184, 57
825, 20, 161, 106
824, 18, 163, 50
823, 19, 162, 78
822, 19, 170, 106
821, 20, 156, 104
820, 18, 173, 95
819, 21, 177, 79
818, 18, 180, 71
817, 20, 188, 88
816, 21, 189, 70
815, 20, 173, 91
814, 19, 170, 100
813, 18, 162, 101
812, 20, 159, 58
811, 20, 187, 52
810, 18, 166, 56
809, 19, 157, 95
808, 21, 153, 61
807, 21, 168, 59
806, 18, 177, 73
805, 21, 161, 95
804, 18, 177, 74
803, 20, 172, 67
802, 18, 184, 68
801, 18, 154, 109
800, 19, 170, 104
799, 18, 172, 68
798, 19, 179, 64
797, 20, 176, 102
796, 18, 156, 61
795, 18, 178, 51
794, 18, 185, 72
793, 18, 189, 96
792, 19, 176, 88
791, 18, 163, 50
790, 20, 186, 101
789, 19, 174, 94
788, 21, 179, 57
787, 21, 159, 104
786, 20, 168, 92
785, 19, 168, 70
784, 21, 154, 69
783, 19, 158, 106
782, 19, 156, 77
781, 19, 178, 83
780, 21, 157, 56
779, 21, 175, 63
778, 18, 183, 67
777, 21, 162, 66
776, 21, 179, 99
775, 20, 171, 62
774, 18, 153, 56
773, 20, 167, 92
772, 19, 183, 69
771, 19, 185, 94
770, 20, 163, 63
769, 18, 165, 98
768, 18, 179, 53
767, 21, 164, 58
766, 18, 175, 50
765, 19, 176, 95
764, 20, 181, 75
763, 21, 173, 56
762, 20, 153, 50
761, 20, 189, 86
760, 19, 155, 97
759, 20, 175, 100
758, 21, 152, 81
757, 19, 186, 75
756, 20, 164, 64
755, 21, 158, 101
754, 18, 189, 101
753, 18, 184, 61
752, 18, 162, 67
751, 20, 178, 101
750, 21, 167, 87
749, 21, 176, 69
748, 20, 156, 69
747, 20, 181, 95
746, 20, 173, 69
745, 19, 150, 53
744, 19, 178, 84
743, 19, 183, 78
742, 18, 184, 86
741, 21, 164, 108
740, 21, 155, 92
739, 18, 150, 106
738, 21, 183, 55
737, 21, 184, 102
736, 21, 153, 65
735, 18, 159, 103
734, 20, 156, 54
733, 21, 170, 81
732, 21, 156, 55
731, 19, 153, 103
730, 19, 184, 70
729, 21, 161, 68
728, 21, 151, 75
727, 21, 174, 57
726, 20, 160, 82
725, 21, 159, 61
724, 19, 170, 83
723, 20, 176, 77
722, 20, 182, 58
721, 19, 151, 88
720, 20, 151, 74
719, 20, 171, 108
